date,open,high,low,close,Adj Close,volume
"Jul 17, 2018",28451.50,28460.87,28137.95,28181.68,28181.68,1700682900
"Jul 16, 2018",28580.96,28699.21,28327.00,28539.66,28539.66,1239642900
"Jul 13, 2018",28689.18,28715.36,28500.51,28525.44,28525.44,1449784600
"Jul 12, 2018",28260.09,28614.53,28217.31,28480.83,28480.83,1850926800
"Jul 11, 2018",28013.72,28365.72,28013.72,28311.69,28311.69,1871183500
"Jul 10, 2018",28900.71,28981.93,28682.25,28682.25,28682.25,1667619300
"Jul 09, 2018",28606.16,28821.54,28518.52,28688.50,28688.50,1877898300
"Jul 06, 2018",28254.37,28554.21,27925.33,28315.62,28315.62,2018289300
"Jul 05, 2018",28101.85,28320.90,27830.75,28182.09,28182.09,1879594600
"Jul 04, 2018",28546.32,28642.34,28141.28,28241.67,28241.67,2102178600
"Jul 03, 2018",28617.00,28617.00,27990.45,28545.57,28545.57,3283196100
"Jun 29, 2018",28463.85,28962.29,28463.85,28955.11,28955.11,2390149600
